"Campo","Descrição"
"32_e","e. os estudos técnicos preliminares (inteiro teor) são divulgados na internet, juntamente com os editais de licitação de TI, sendo facilmente acessados."
"32_f","f. os contratos de TI e os respectivos aditivos (inteiro teor) são divulgados na internet, sendo facilmente acessados."
"32_g","g. a execução orçamentária de TI, ao longo do exercício, é divulgada na internet, sendo facilmente acessada."
"32_h","h. as respostas aos questionários dos levantamentos de governança de TI realizados pelo TCU, bem como os respectivos relatórios de feedback, são divulgados na internet, sendo facilmente acessados."
"32_i","i.as informações sobre gestão e uso de TI divulgadas pela organização atendem aos princípios dos “Dados Abertos Governamentais” (http://dados.gov.br/dados-abertos)."
"41_a","a. a organização define as competências necessárias para o pessoal de TI executar suas atividades."
"41_b","b. a organização define critérios para avaliação e atendimento dos pedidos de capacitação."
"41_c","c. a organização elabora, periodicamente, plano de capacitação para suprir as necessidades de desenvolvimento de competências de TI."
"41_d","d. a organização acompanha a execução do plano de capacitação, com identificação e correção de desvios."
"41_e","e. a organização avalia a execução do plano de capacitação, verificando se os objetivos e resultados esperados foram alcançados."
"41_f","f. o plano de capacitação inclui o desenvolvimento de competências em gestão de TI."
"41_g","g. o plano de capacitação inclui o desenvolvimento de competências em contratação de bens e serviços de TI e na gestão dos contratos decorrentes."
"41_h","h. a organização possui algum programa de benefício, financeiro ou não, para incentivar o desenvolvimento de competências do pessoal de TI."
"42_a","a. a organização estabelece metas de desempenho para o pessoal de TI."
"42_b","b. a organização avalia periodicamente o desempenho do pessoal de TI."
"42_c","c. a organização estabelece benefício, financeiro ou não, em função do desempenho alcançado pelo pessoal de TI."
"43_b1","o quantitativo considerado ideal (item b) foi estimado com base em estudo técnico de avaliação quantitativa e qualitativa do quadro de pessoal da área de TI."
"51_a","a. a organização executa processo de gerenciamento do catálogo de serviços."
"51_b","b. o processo de gerenciamento do catálogo de serviços está formalmente instituído, como norma de cumprimento obrigatório."
"51_c","c. a organização executa processo de gerenciamento da continuidade dos serviços de TI."
"51_d","d. o processo de gerenciamento de continuidade dos serviços de TI está formalmente instituído, como norma de cumprimento obrigatório."
"51_e","e. a organização executa processo de gerenciamento de mudanças."
"51_f","f. o processo de gerenciamento de mudanças está formalmente instituído, como norma de cumprimento obrigatório."
"51_g","g. a organização executa processo de gerenciamento de configuração e ativos."
"51_h","h. o processo de gerenciamento de configuração e ativos está formalmente instituído, como norma de cumprimento obrigatório."
"51_i","i. a organização executa processo de gerenciamento de liberação e implantação."
"51_j","j. o processo de gerenciamento de liberação e implantação está formalmente instituído, como norma de cumprimento obrigatório."
"51_k","k. a organização executa processo de gerenciamento de incidentes."
"51_l","l. o processo de gerenciamento de incidentes está formalmente instituído, como norma de cumprimento obrigatório."
"51_m","m. a organização executa processo de gerenciamento de problemas."
"51_n","n. o processo de gerenciamento de problemas está formalmente instituído, como norma de cumprimento obrigatório."
"52_a","a. a organização mantém um catálogo publicado e atualizado dos serviços de TI oferecidos às áreas clientes, incluindo os níveis de serviço definidos."
"52_b","b. os níveis de serviço são formalmente definidos entre a área de TI e as áreas clientes (Acordo de Nível de Serviço - ANS)."
"52_c","c. os ANS incluem, como indicador de nível de serviço, o grau de satisfação dos usuários, apurado mediante a avaliação dos serviços de TI pelas áreas clientes."
"52_d","d. a área de TI monitora o alcance dos níveis de serviço definidos."
"52_e","e. a área de TI implementa ações corretivas em caso de não alcance dos níveis de serviço definidos."
"52_f","f. a área de TI comunica periodicamente o resultado desse monitoramento às áreas clientes."
"53_a","a. a organização identifica os riscos de TI dos processos críticos de negócio."
"53_b","b. a organização avalia os riscos de TI dos processos críticos de negócio."
"53_c","c. a organização trata os riscos de TI dos processos críticos de negócio com base em um plano de tratamento de risco."
"53_d","d. a organização executa um processo de gestão de riscos de TI."
"53_e","e. o processo de gestão de riscos de TI está formalmente instituído, como norma de cumprimento obrigatório."
"54_a","a. a organização dispõe de uma política de segurança da informação formalmente instituída, como norma de cumprimento obrigatório."
"54_b","b. a organização dispõe de comitê de segurança da informação formalmente instituído, responsável por formular e conduzir diretrizes para a segurança da informação corporativa, composto por representantes de áreas relevantes da organização."
"54_c","c. a organização possui gestor de segurança da informação formalmente designado, responsável pelas ações corporativas de segurança da informação."
"54_d","d. a organização dispõe de política de controle de acesso à informação e aos recursos e serviços de TI formalmente instituída, como norma de cumprimento obrigatório."
"54_e","e. a organização dispõe de política de cópias de segurança (backup) formalmente instituída, como norma de cumprimento obrigatório."
"54_f","f. a organização executa processo de gestão de ativos, assegurando a definição de responsabilidades e a manutenção de inventário dos ativos."
"54_g","g. o processo de gestão de ativos está formalmente instituído, como norma de cumprimento obrigatório."
"54_h","h. a organização executa processo para classificação e tratamento de informações."
"54_i","i. o processo para classificação e tratamento de informações está formalmente instituído, como norma de cumprimento obrigatório."
"54_j","j. a organização implementa controles para garantir a proteção adequada ao grau de confidencialidade de cada classe de informação."
"54_k","k. a organização executa processo de gestão de riscos de segurança da informação."
"54_l","l. o processo de gestão de riscos de segurança da informação está formalmente instituído, como norma de cumprimento obrigatório."
"54_m","m. a organização executa processo de gestão de vulnerabilidades técnicas de TI, com objetivo de reduzir o risco de exploração de vulnerabilidades conhecidas."
"54_n","n. o processo de gestão de vulnerabilidades técnicas de TI está formalmente instituído, como norma de cumprimento obrigatório."
"54_o","o. a organização executa processo de monitoramento do uso dos recursos de TI, com objetivo de detectar atividades não autorizadas."
"54_p","p. o processo de monitoramento do uso dos recursos de TI está formalmente instituído, como norma de cumprimento obrigatório."
"54_q","q. a organização executa processo de gestão de incidentes de segurança da informação."
"54_r","r. o processo de gestão de incidentes de segurança da informação está formalmente instituído, como norma de cumprimento obrigatório."
"54_s","s. a organização possui equipe de tratamento e resposta a incidentes de segurança em redes computacionais, formalmente instituída."
"54_t","t. a organização realiza, de forma periódica, ações de conscientização, educação e treinamento em segurança da informação para seus colaboradores."
"54_u","u. a organização utiliza sistema criptográfico, aderente ao processo de certificação digital da ICP-Brasil, para garantir a autenticidade (autoria e integridade) das informações."
"55_a","a. a organização executa um processo de software, com o objetivo de assegurar que o software a ser desenvolvido, direta ou indiretamente, atenda às suas necessidades."
"55_b","b. o processo de software é acompanhado por meio de mensurações, com indicadores quantitativos e metas de processo a cumprir."
"55_c","c. o processo de software é periodicamente revisado e melhorado com base nas mensurações obtidas."
"55_d","d. a organização possui pessoal próprio capacitado para executar o processo de software."
"55_e","e. o processo de software está formalmente instituído, como norma de cumprimento obrigatório."
"56_a","a. a organização possui portfólio de projetos de TI."
"56_b","b. a organização executa processo de gerenciamento de projetos de TI."
"56_c","c. o processo de gerenciamento de projetos de TI é acompanhado por meio de mensurações, com indicadores quantitativos e metas de processo a cumprir."
"56_d","d. o processo de gerenciamento de projetos de TI é periodicamente revisado e melhorado com base nas mensurações obtidas."
"56_e","e. o processo de gerenciamento de projetos de TI está formalmente instituído, como norma própria de cumprimento obrigatório."
"56_f","f. a organização possui um escritório de projetos, ao menos para projetos de TI."
"57_a","a. a organização realiza estudos técnicos preliminares para avaliar a viabilidade da contratação."
"57_b","b. a organização explicita, nos autos, as necessidades de negócio que se pretende atender com a contratação."
"57_c","c. a organização explicita, nos autos, os indicadores dos benefícios de negócio que serão alcançados."
"57_d","d. a organização explicita, nos autos, o alinhamento entre a contratação e os planos estratégico institucional e de TI vigentes."
"57_e","e. a organização realiza análise dos riscos que possam comprometer o sucesso do processo de contratação e dos resultados que atendam as necessidades de negócio."
"57_f","f. a organização adota métricas objetivas para mensuração de resultados do contrato."
"57_g","g. a organização realiza os pagamentos dos contratos em função da mensuração objetiva dos resultados entregues e aceitos."
"57_h","h. a organização realiza a análise dos benefícios reais já obtidos, utilizando-a como critério para prorrogar o contrato."
"57_i","i. a organização diferencia e define formalmente os papéis de gestor e fiscal do contrato."
"58_a","a. a organização possui procedimentos internos que auxiliam na padronização das atividades de planejamento das contratações de TI."
"58_b","b. a organização executa processo de planejamento das contratações de TI."
"58_c","c. o processo de planejamento das contratações de TI é acompanhado por meio de mensurações, com indicadores quantitativos e metas de processo a cumprir."
"58_d","d. o processo de planejamento das contratações de TI é periodicamente revisado e melhorado com base nas mensurações obtidas."
"58_e","e. o processo de planejamento das contratações está formalmente instituído, como norma de cumprimento obrigatório."
"59_a","a. a organização possui procedimentos internos que auxiliam na padronização das atividades de gestão de contratos de TI."
"59_b","b. a organização executa processo de gestão de contratos de TI."
"59_c","c. o processo de gestão de contratos de TI é acompanhado por meio de mensurações, com indicadores quantitativos e metas de processo a cumprir."
"59_d","d. o processo de gestão de contratos de TI é periodicamente revisado e melhorado com base nas mensurações obtidas."
"59_e","e. o processo de gestão de contratos de TI está formalmente instituído, como norma de cumprimento obrigatório."
"61_a3","Meta 2013"
"61_a4","Percentual de cumprimento da meta"
"61_b3","Meta 2013"
"61_b4","Percentual de cumprimento da meta"
"61_c3","Meta 2013"
"61_c4","Percentual de cumprimento da meta"
"61_d3","Meta 2013"
"61_d4","Percentual de cumprimento da meta"
"61_e3","Meta 2013"
"61_e4","Percentual de cumprimento da meta"
"621_a4","Percentual de execução física em relação ao escopo"
"621_a5","Percentual de atraso em relação ao prazo estimado"
"621_b4","Percentual de execução física em relação ao escopo"
"621_b5","Percentual de atraso em relação ao prazo estimado"
"621_c4","Percentual de execução física em relação ao escopo"
"621_c5","Percentual de atraso em relação ao prazo estimado"
"621_d4","Percentual de execução física em relação ao escopo"
"621_d5","Percentual de atraso em relação ao prazo estimado"
"621_e4","Percentual de execução física em relação ao escopo"
"621_e5","Percentual de atraso em relação ao prazo estimado"
"62_a","a. a organização possui projetos de TI iniciados até 2013 que estão em andamento"
"62_b","b. a organização encerrou (concluiu ou cancelou) projetos de TI em 2013."
"622_a5","Percentual de execução física em relação ao escopo"
"622_a6","Percentual de atraso em relação ao prazo estimado"
"622_b5","Percentual de execução física em relação ao escopo"
"622_b6","Percentual de atraso em relação ao prazo estimado"
"622_c5","Percentual de execução física em relação ao escopo"
"622_c6","Percentual de atraso em relação ao prazo estimado"
"622_d5","Percentual de execução física em relação ao escopo"
"622_d6","Percentual de atraso em relação ao prazo estimado"
"622_e5","Percentual de execução física em relação ao escopo"
"622_e6","Percentual de atraso em relação ao prazo estimado"
"63_a3","Meta 2013"
"63_a4","Percentual de cumprimento da meta"
"63_b3","Meta 2013"
"63_b4","Percentual de cumprimento da meta"
"63_c3","Meta 2013"
"63_c4","Percentual de cumprimento da meta"
"63_d3","Meta 2013"
"63_d4","Percentual de cumprimento da meta"
"63_e3","Meta 2013"
"63_e4","Percentual de cumprimento da meta"
"64_a","a. os serviços são acessíveis via internet."
"64_b","b. os serviços acessíveis via internet implementam as recomendações do Modelo de Acessibilidade de Governo Eletrônico – eMAG, previsto no Programa de Governo Eletrônico Brasileiro."
"64_c","c. os serviços acessíveis via internet implementam as diretrizes e as especificações dos Padrões de Interoperabilidade de Governo Eletrônico – ePING, previsto no Programa de Governo Eletrônico Brasileiro."
"64_d","d. os serviços acessíveis via internet observam as recomendações dos Padrões Web em Governo Eletrônico – ePWG, previsto no Programa de Governo Eletrônico Brasileiro."
"64_e","e. há catálogo publicado com informações claras e precisas de cada um dos serviços acessíveis via internet."
"64_f","f. os serviços acessíveis via internet são avaliados pelo cidadão/cliente por meio de pesquisas periódicas de satisfação."
"64_g","g. os resultados das avaliações dos serviços acessíveis via internet são divulgados ao cidadão/cliente."
"64_h","h. a organização possui perfil oficial em rede social com a finalidade de descobrir e atender às necessidades do cidadão/cliente."
"Utilidade","Os levantamentos de governança de TI realizados pelo TCU contribuem para a melhoria da governança e gestão de TI da organização?"
